Geography,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020
Canada,"37,408,205","37,589,262","37,797,496","37,894,799","37,971,020"
Newfoundland and Labrador,"522,818","521,542","521,922","521,365","520,437"
Prince Edward Island,"155,656","156,947","157,901","158,158","158,717"
Nova Scotia,"966,709","971,395","976,768","977,457","978,274"
New Brunswick,"773,887","776,827","780,021","779,993","780,890"
Quebec,"8,447,609","8,484,965","8,522,800","8,537,674","8,552,362"
Ontario,"14,484,242","14,566,547","14,659,616","14,711,827","14,745,040"
Manitoba,"1,364,400","1,369,465","1,373,859","1,377,517","1,379,121"
Saskatchewan,"1,171,027","1,174,462","1,178,657","1,181,666","1,181,987"
Alberta,"4,350,901","4,371,316","4,395,586","4,413,146","4,428,247"
British Columbia,"5,046,780","5,071,336","5,105,576","5,110,917","5,120,184"
Yukon,"40,601","40,854","41,022","41,078","41,293"
Northwest Territories 5,"44,909","44,826","44,895","44,904","44,982"
Nunavut 5,"38,666","38,780","38,873","39,097","39,486"
